X1,Y1,X2,Y2,X3,Y3
1,1.61,1,,1,8.88822
2,2.33,2,,2,8.56846
3,2.0,3,,3,11.35507
4,,4,,4,12.74596
5,,5,1.65704,5,15.17685
6,,6,3.7458,6,16.22562
7,,7,9.29663,7,22.81644
8,,8,11.3718,8,26.97157
9,,9,12.7627,9,27.32249
10,,10,14.83786,10,30.43764
12,,12,19.67726,12,34.23705
14,,14,21.06816,14,37.70792
16,,16,21.40548,16,38.04524
18,,18,24.57499,18,42.25473
20,,20,24.9259,20,42.60565
23,,23,26.65893,23,44.33868
26,,26,36.71184,26,51.27163
29,,29,40.51126,29,56.11103
30,,30,78.07062,30,72.87069
33,,33,124.50942,33,94.34985
35,,35,131.14101,35,92.66156
38,,38,142.76629,38,85.56711
41,,41,133.71416,41,80.67493
43,,43,114.31655,43,57.11737
46,,46,142.77424,46,59.57543
49,,49,148.40661,49,63.12783
51,,51,147.40259,51,70.44369
55,,55,145.68712,55,76.00812
58,,58,146.05162,58,84.6925
60,,60,148.20832,60,87.88919
61,,61,148.2171,61,86.85798
63,,63,150.3738,63,90.05467
65,,65,147.98766,65,86.62854
67,,67,159.76482,67,96.32573
68,,68,169.81773,68,97.01878
70,,70,149.28981,70,147.20984
73,,73,179.91141,73,195.51119
76,,76,208.09732,76,235.13693
79,,79,239.49831,79,266.53792
80,,80,263.59222,80,295.83176
