X,Y
1,12.28
2,24.56
3,34.29
4,41.54
5,49.52
6,60.39
7,67.57
8,75.9
9,83.9
10,93.42
12,101.72
14,112.62
16,134.2
18,178.9
20,202.4
23,228.67
26,241.96
29,255.6
30,266.13
33,275.06
35,286.81
38,293.91
41,300.45
43,307.51
46,313.87
49,318.26
51,324.44
55,329.15
58,330.99
60,336.94
61,343.82
63,351.24
65,358.25
67,356.01
68,365.17
70,379.53
73,394.91
76,409.01
79,423.1
80,437.72
83,451.05
86,488.37
89,477.7
92,493.6
95,536.95
99,579.28
102,584.61
104,597.43
107,580.5
109,573.58
