X1,Y1,X2,Y2,X3,Y3
1,1.11,1,2.46254,1,1.10595
2,2.01,2,2.00986,2,2.00986
3,47.64,3,50.3515,3,46.28173
4,13.27,4,13.26508,4,13.26508
5,13.27,5,13.26508,5,13.26508
6,13.27,6,13.26508,6,13.26508
7,13.27,7,13.26508,7,13.26508
8,13.27,8,13.26508,8,13.26508
9,13.27,9,13.26508,9,13.26508
10,13.27,10,13.26508,10,13.26508
12,13.27,12,13.26508,12,13.26508
14,13.27,14,13.26508,14,13.26508
16,13.27,16,13.26508,16,13.26508
18,13.27,18,13.26508,18,13.26508
20,13.27,20,13.26508,20,13.26508
23,13.27,23,13.26508,23,13.26508
26,13.27,26,13.26508,26,13.26508
29,13.27,29,13.26508,29,13.26508
30,13.27,30,13.26508,30,13.26508
33,13.27,33,13.26508,33,13.26508
35,120.5,35,,35,113.71808
38,140.53,38,,38,117.46655
41,165.2,41,,41,113.65312
43,157.43,43,,43,131.65111
46,199.54,46,,46,166.9791
49,234.97,49,,49,213.26581
51,274.04,51,,51,260.47279
55,306.29,55,,55,317.14057
58,335.82,58,,58,373.80835
60,358.35,60,,60,400.40684
61,374.98,61,,61,419.75075
63,397.51,63,,63,446.34925
65,418.61,65,,65,478.30343
67,440.64,67,,67,516.60426
68,476.92,68,,68,547.46151
70,539.85,70,,70,527.64265
73,576.7,73,,73,493.95058
76,611.5,76,,76,534.17495
79,643.43,79,,79,564.74955
80,674.63,80,,80,598.66262
