X,Y
1,3.4
2,10.33
3,13.78
4,18.66
5,24.41
6,25.53
7,32.14
8,33.25
9,34.65
10,36.62
12,37.43
14,39.7
16,43.69
18,49.21
20,50.61
23,66.21
26,85.28
29,97.38
30,131.54
33,158.42
35,156.4
38,166.42
41,166.15
43,143.35
46,150.0
49,152.37
51,158.74
55,163.63
58,164.18
60,177.55
61,179.54
63,192.91
65,195.51
67,198.64
68,207.28
70,242.37
73,267.26
76,282.28
79,300.02
80,350.34
